(13, '26-11-23', 'Frosinone', 'Genoa', '2-1', 'Inter', 3, 2)
(13, '26-11-23', 'Empoli', 'Sassuolo', '3-4', 'Inter', 3, 2)
(13, '26-11-23', 'Roma', 'Udinese', '3-1', 'Inter', 3, 2)
(13, '27-11-23', 'Bologna', 'Torino', '2-0', 'Inter', 3, 2)
(13, '27-11-23', 'Verona', 'Lecce', '2-2', 'Inter', 3, 2)
(14, '01-12-23', 'Monza', 'Juventus', '1-2', 'Inter', 3, 2)
(14, '02-12-23', 'Genoa', 'Empoli', '1-1', 'Inter', 3, 2)
(14, '02-12-23', 'Lazio', 'Cagliari', '1-0', 'Inter', 3, 2)
(14, '02-12-23', 'Milan', 'Frosinone', '3-1', 'Inter', 3, 2)
(14, '03-12-23', 'Napoli', 'Inter', '0-3', 'Inter', 3, 2)
(14, '03-12-23', 'Lecce', 'Bologna', '1-1', 'Inter', 4, 2)
(14, '03-12-23', 'Sassuolo', 'Roma', '1-2', 'Inter', 4, 2)
(14, '03-12-23', 'Fiorentina', 'Salernitana', '3-0', 'Inter', 4, 2)
(14, '03-12-23', 'Udinese', 'Verona', '3-3', 'Inter', 4, 2)
(14, '04-12-23', 'Torino', 'Atalanta', '3-0', 'Inter', 4, 2)
(15, '08-12-23', 'Juventus', 'Napoli', '1-0', 'Inter', 4, 2)
(15, '09-12-23', 'Verona', 'Lazio', '1-1', 'Inter', 4, 2)
(15, '09-12-23', 'Atalanta', 'Milan', '3-2', 'Inter', 4, 2)
(15, '09-12-23', 'Inter', 'Udinese', '4-0', 'Inter', 4, 2)
(15, '10-12-23', 'Frosinone', 'Torino', '0-0', 'Inter', 5, 2)
(15, '10-12-23', 'Monza', 'Genoa', '1-0', 'Inter', 5, 2)
(15, '10-12-23', 'Roma', 'Fiorentina', '1-1', 'Inter', 5, 2)
(15, '10-12-23', 'Salernitana', 'Bologna', '1-2', 'Inter', 5, 2)
(15, '11-12-23', 'Empoli', 'Lecce', '1-1', 'Inter', 5, 2)
(15, '11-12-23', 'Cagliari', 'Sassuolo', '2-1', 'Inter', 5, 2)
(16, '15-12-23', 'Genoa', 'Juventus', '1-1', 'Inter', 5, 2)
(16, '16-12-23', 'Torino', 'Empoli', '1-0', 'Inter', 5, 2)
(16, '16-12-23', 'Lecce', 'Frosinone', '2-1', 'Inter', 5, 2)
(16, '16-12-23', 'Napoli', 'Cagliari', '2-1', 'Inter', 5, 2)
(16, '17-12-23', 'Lazio', 'Inter', '0-2', 'Inter', 5, 2)
(16, '17-12-23', 'Fiorentina', 'Verona', '1-0', 'Inter', 6, 2)
(16, '17-12-23', 'Bologna', 'Roma', '2-0', 'Inter', 6, 2)
(16, '17-12-23', 'Udinese', 'Sassuolo', '2-2', 'Inter', 6, 2)
(16, '17-12-23', 'Milan', 'Monza', '3-0', 'Inter', 6, 2)
(16, '18-12-23', 'Atalanta', 'Salernitana', '4-1', 'Inter', 6, 2)
(17, '22-12-23', 'Empoli', 'Lazio', '0-2', 'Inter', 6, 2)
(17, '22-12-23', 'Monza', 'Fiorentina', '0-1', 'Inter', 6, 2)
(17, '22-12-23', 'Sassuolo', 'Genoa', '1-2', 'Inter', 6, 2)
(17, '22-12-23', 'Salernitana', 'Milan', '2-2', 'Inter', 6, 2)
(17, '23-12-23', 'Bologna', 'Atalanta', '1-0', 'Inter', 6, 2)
(17, '23-12-23', 'Frosinone', 'Juventus', '1-2', 'Inter', 6, 2)
(17, '23-12-23', 'Torino', 'Udinese', '1-1', 'Inter', 6, 2)
(17, '23-12-23', 'Verona', 'Cagliari', '2-0', 'Inter', 6, 2)
(17, '23-12-23', 'Inter', 'Lecce', '2-0', 'Inter', 6, 2)
(17, '23-12-23', 'Roma', 'Napoli', '2-0', 'Inter', 7, 2)
(18, '29-12-23', 'Napoli', 'Monza', '0-0', 'Inter', 7, 2)
(18, '29-12-23', 'Fiorentina', 'Torino', '1-0', 'Inter', 7, 2)
(18, '29-12-23', 'Genoa', 'Inter', '1-1', 'Inter', 7, 2)
(18, '29-12-23', 'Lazio', 'Frosinone', '3-1', 'Inter', 7, 2)
(18, '30-12-23', 'Cagliari', 'Empoli', '0-0', 'Inter', 7, 2)
(18, '30-12-23', 'Verona', 'Salernitana', '0-1', 'Inter', 7, 2)
(18, '30-12-23', 'Atalanta', 'Lecce', '1-0', 'Inter', 7, 2)
(18, '30-12-23', 'Juventus', 'Roma', '1-0', 'Inter', 7, 2)
(18, '30-12-23', 'Milan', 'Sassuolo', '1-0', 'Inter', 7, 2)
(18, '30-12-23', 'Udinese', 'Bologna', '3-0', 'Inter', 7, 2)
(19, '05-01-24', 'Bologna', 'Genoa', '1-1', 'Inter', 7, 2)
(19, '06-01-24', 'Lecce', 'Cagliari', '1-1', 'Inter', 7, 2)
(19, '06-01-24', 'Sassuolo', 'Fiorentina', '1-0', 'Inter', 7, 2)
(19, '06-01-24', 'Frosinone', 'Monza', '2-3', 'Inter', 7, 2)
(19, '06-01-24', 'Inter', 'Verona', '2-1', 'Inter', 7, 2)
(19, '07-01-24', 'Empoli', 'Milan', '0-3', 'Inter', 8, 2)
(19, '07-01-24', 'Roma', 'Atalanta', '1-1', 'Inter', 8, 2)
(19, '07-01-24', 'Salernitana', 'Juventus', '1-2', 'Inter', 8, 2)
(19, '07-01-24', 'Udinese', 'Lazio', '1-2', 'Inter', 8, 2)
(19, '07-01-24', 'Torino', 'Napoli', '3-0', 'Inter', 8, 2)
(20, '13-01-24', 'Genoa', 'Torino', '0-0', 'Inter', 8, 2)
(20, '13-01-24', 'Monza', 'Inter', '1-5', 'Inter', 8, 2)
(20, '13-01-24', 'Verona', 'Empoli', '2-1', 'Inter', 9, 2)
(20, '13-01-24', 'Napoli', 'Salernitana', '2-1', 'Inter', 9, 2)
(20, '14-01-24', 'Lazio', 'Lecce', '1-0', 'Inter', 9, 2)
